lat,lng,demand
-8.548139512,115.3386666,587046
-8.216141081,115.0135327,26377
-8.42467054,114.8349755,2633
-8.621308274,115.2158578,59572
-8.542390114,115.2145922,66620
-8.450824668,115.6143622,64473
-8.724629951,115.1766023,985643
-8.3683874,115.184741,22948
-8.441620039,115.4863479,28498
4.324628831,98.0645503,1582
5.578453128,106.3368215,22860
5.532753386,95.33296762,45587
4.80551092,97.89200441,41179
3.48632937,97.81194961,30893
4.94352414,97.77589155,38801
3.997998011,97.32921303,17896
5.557825977,95.378139,33340
5.574102313,95.35535989,19283
-1.244224098,116.8942994,119492
0.512578918,117.5322432,120589
0.170949745,117.4788523,5062
-0.371513852,115.7084447,2867
3.310137455,117.5828615,58497
-0.476309394,117.1248651,260503
2.145515976,117.420825,22580
-8.221139617,115.5257181,29532
-8.106770008,115.0869095,441
-8.440479338,115.5646505,9783
-8.268085832,114.5016726,18494
-8.329288306,115.0302582,7694
-2.698958214,111.6370055,24326
-2.439519466,111.3360457,11278
-2.725717778,111.6409661,3758
-2.971200959,114.1470316,8030
-2.20257948,113.8957762,137088
-2.549340967,112.9620128,43425
-6.299631982,107.1320642,7316369
-6.226342288,106.9610119,141710
-6.262846074,107.2570097,6072
-6.344627572,107.0393898,27084
-6.437098626,107.2199695,1282
-6.322058013,106.9859892,30288
-6.244093613,107.0487978,427801
-6.327471958,107.2848183,509808
-6.203392399,107.014093,931
-8.262258196,112.5917567,24787
-3.6475758,102.5876387,986
-3.2637558,102.9001479,127
-3.362028591,101.8376239,29319
-3.817385752,102.3027464,1369
-3.467620426,102.5317078,537
-3.307492149,102.8499523,478
-3.866223184,102.3148519,124700
-3.118356735,102.2022858,9731
-5.126710814,119.4645595,24218
-2.96846926,119.9002596,46897
-5.129582119,119.4113271,33737
-6.716445085,107.2186196,14639
-6.885160509,106.9241313,499
-6.989470506,106.5536765,65344
-6.908329988,106.8931585,63424
-6.877338227,107.0183277,36202
-6.850970312,107.1312596,6249
-6.813836797,107.2447555,58569
-3.538625527,118.9709168,65022
-1.1831649,136.0798359,19193
-2.636995074,121.3689305,24099
-5.672189556,119.7642463,45136
-5.163201987,119.4852897,119295
-5.015415394,119.5750994,20266
-5.202398151,119.4505039,41862
-2.586553088,112.7208276,168304
-4.005628181,119.6276049,80047
-5.541785783,119.9391985,2077
-7.994641216,112.6120903,3698
-6.383793868,107.1099364,32992
-6.173372261,107.030812,52075
-6.15372942,106.6010166,4177
-6.904038701,112.65596,50529
-8.180930587,112.6312561,249797
-7.65078653,112.6991692,123145
-7.7407018,112.9908857,77
-7.473514397,110.917746,19670
-7.441109332,111.0125254,113286
-7.70255371,110.5642546,615
-7.556248634,110.7557445,563926
-8.199536545,111.1158834,71345
-7.585902875,110.7741758,171706
-7.839189162,111.1361237,62664
-7.80943891,111.0227262,4146
-7.931450722,112.6505358,3960
-7.975934846,112.6106962,114193
-7.591978768,112.7839187,80796
-7.896916097,112.6012082,74035
-8.010103961,112.7580622,71110
-7.680794981,112.6423996,8311
-8.111491396,112.7361177,54411
-7.63491193,112.7997415,6726
-7.719409569,112.7150869,28414
-1.965176465,103.436165,24259
-8.686468927,115.2553249,54833
-8.55948871,115.1313039,88572
-4.773351539,122.0530822,21568
-4.779349649,121.5891419,13371
-4.004283897,122.5330855,452740
-3.976546451,122.5663257,58507
-4.066131504,122.493869,3639
-4.819310334,122.7311685,84291
-4.863376487,122.5465006,7147
-3.966437329,122.5210295,154688
-6.240665236,106.7882858,31724
-6.318940002,106.8250836,13250
-6.216309305,106.8653233,184263
-6.1398643,106.8119396,222004
-6.176230769,106.8412964,57023
-8.482761213,117.4010944,124542
-8.611684505,116.2265783,41124
-8.613557389,116.4716784,228978
-8.231168127,116.4064238,19824
-8.585650431,116.1277132,391773
-8.495211918,117.4205888,149530
-6.712959404,108.5565098,95033
-6.957356844,108.5346494,1175
-6.521519219,108.3590338,3389
-6.348462316,108.2506061,63044
-6.470527098,108.3045461,185493
-6.852389661,108.7239256,58878
-6.705608337,108.3555582,39790
-6.903259267,108.7414847,554062
1.45733,124.76821,478
1.501535663,124.882425,40557
1.46406277,124.9382148,179504
0.562144433,123.0646593,15364
0.538506362,123.0663154,32678
1.466549767,119.6392448,79783
1.435938288,125.1194681,11291
-3.441786788,114.742459,49264
-3.376329535,114.8979582,439
-3.543706356,116.0509771,6125
-3.412028962,114.6580174,1105346
-2.581698762,115.3852005,61639
-3.331158886,114.6043965,62023
3.58711976,116.6250545,66390
-0.326489559,117.4160656,24269
-0.415668502,117.2103095,2606
-0.523770043,117.1938049,16558
-1.232773104,116.8214595,200
-1.238210163,116.8417927,45592
-1.244300406,116.8429383,10254
0.096330378,101.2507153,11518
0.737540103,101.9621609,34724
0.431463787,101.6700575,4328
-0.527044461,102.89544,34734
1.470676184,102.1090301,32309
0.465060202,101.3932528,364496
0.568157075,101.436016,86303
0.478441567,101.3718144,525581
1.276789216,101.1942566,237167
1.670565001,101.4350148,127080
0.892969804,100.3067961,93965
0.637192274,101.0928237,132159
-6.211544,101.3627637,28215
-7.619497031,110.7154356,454
-7.436260399,110.698088,45089
-7.362021754,111.0584154,2600
-7.369855312,111.0807227,2678
-7.564985927,110.8754407,277289
-7.634395168,110.6018511,53186
-8.19811933,111.1176084,51204
-7.329279355,110.5043475,147442
-7.450858089,110.8881945,16709
-7.699411463,110.605465,6942
-6.195796763,106.2261901,398
-6.164138365,106.5450668,198661
-6.135704033,106.2513771,27482
-6.373269843,105.91988,13730
-6.198604348,106.4338321,99092
-6.237513842,106.7166267,21638
-6.1402167,106.812068,1360029
-6.24703316,106.76062,441822
-6.147867963,106.8274209,1185
-6.112150255,106.8959333,249671
-6.200754309,106.7550017,1222
-6.280458171,106.8292923,35132
3.557900836,98.65360985,70921
3.223656991,99.4518371,6853
2.740704689,98.39565932,3053
3.580574643,98.68722568,9484
3.592394768,98.67702224,56828
3.438110692,98.88144782,33629
3.489539109,98.80413,1651738
-3.70058,128.17526,8367
-7.5322642,131.3078816,6380
-3.755441702,115.469209,55874
-2.3353623,115.4612357,18221
-3.441280967,114.8330991,514755
-3.348283257,114.5954528,485
-3.335223,114.595973,314899
-3.256084412,116.2099062,106247
-2.181404282,115.3725008,7428
-3.945920478,116.0652144,6332
-6.42083486,106.851739,32188
-6.527261679,106.8456228,830489
3.307196235,97.14716502,1514
3.597671675,98.49003731,1029959
2.960030074,98.0615168,434
4.036997162,98.17417277,1858
3.898757738,98.42150661,27110
3.508902725,98.62160695,5261
3.559635971,98.97587739,40206
3.279455591,99.37132212,32713
-2.930571291,104.7160379,605176
-4.540758771,104.0736167,37422
-3.2266613,104.6625416,34990
-3.408890303,104.2714762,13659
-2.96335178,104.767329,62478
-3.2774549,103.8310232,335
-2.973203139,104.7173701,15008
-7.064026897,111.0904102,9900
-6.742694033,110.7550259,42652
-6.932545583,110.0626577,13722
-6.970796757,110.0715418,129048
-6.189403726,106.6307889,542634
-6.449705224,105.8164231,427
-6.173623439,106.6241186,27464
-6.020761922,106.0728359,59051
-6.196636237,106.6379119,287026
-6.265477116,106.7443367,5904
-5.901021,106.0293575,416
-6.008523692,106.0484536,6439
-6.265562157,106.7365917,31251
-6.28337142,106.6159304,8674
-6.460673008,106.0002235,184
-6.859564128,108.8539893,17789
-6.888971722,109.662384,649717
-6.891237316,108.9766611,12111
-6.912897688,109.615158,4005
-6.912373015,109.727439,5889
-7.16680868,109.5795685,5656
-6.88965973,109.5298533,75166
-7.027267419,109.6219975,24801
-6.91338416,109.1344538,41480
-7.030366316,109.579462,18214
-2.142284655,106.1537746,21714
-2.130695139,106.1232518,7548
-2.738343268,107.6446564,82667
-6.414321192,106.8318601,682021
-6.680617431,106.931657,43902
-6.371622411,106.7383119,84059
-6.572153685,106.7421986,5455
-6.367700472,106.9592465,62780
-6.591308838,106.7929895,87725
-6.501124632,106.8389799,619858
-6.42881024,106.728473,542232
-7.33228849,108.3582309,4196
-7.46764549,107.5871028,11274
-7.386762545,108.3589225,6487
-7.328959025,108.2184682,306283
-7.298483733,108.1962064,43336
-7.322674365,108.2275732,48142
-7.085369098,107.8953883,35587
-3.008796141,106.4601116,74355
-2.126151482,106.1252395,203361
-0.638503439,127.4981081,48185
1.3121235,127.5644622,88227
-7.286476125,112.6728003,42141
-6.89556336,112.0486604,669
-7.131007621,112.605843,50808
-7.031314652,112.7444268,19734
-7.043663761,112.7412595,26045
-6.893212764,112.9667476,15326
-7.365951306,112.6935674,100332
-7.282976229,112.6861754,137649
-6.900746623,113.1756286,16609
-6.972222638,112.6020618,22487
-7.003996841,110.4292327,24522
-6.970254638,110.1340606,40197
-6.770736871,110.8562238,13911
-7.215518579,110.4110379,23703
